,date,incidents,n_killed,n_injured,year
176,2013-12-31,3,4,7,2013
177,2014-01-01,216,50,132,2013
178,2014-01-02,119,29,48,2013
179,2014-01-03,124,37,59,2013
180,2014-01-04,140,37,73,2013
181,2014-01-05,130,31,66,2013
182,2014-01-06,100,29,25,2013
183,2014-01-07,115,25,39,2013
184,2014-01-08,149,27,58,2013
185,2014-01-09,134,32,54,2013
186,2014-01-10,129,18,48,2013
187,2014-01-11,143,34,79,2013
188,2014-01-12,147,36,83,2013
189,2014-01-13,162,33,76,2013
190,2014-01-14,158,42,68,2013
191,2014-01-15,181,43,60,2013
192,2014-01-16,158,46,58,2013
193,2014-01-17,152,28,75,2013
194,2014-01-18,147,34,70,2013
195,2014-01-19,139,38,80,2013
196,2014-01-20,172,55,72,2013
197,2014-01-21,125,34,48,2013
198,2014-01-22,134,32,54,2013
199,2014-01-23,117,34,25,2013
200,2014-01-24,115,23,42,2013
201,2014-01-25,162,44,85,2013
202,2014-01-26,152,39,61,2013
203,2014-01-27,151,40,48,2013
204,2014-01-28,124,30,60,2013
205,2014-01-29,120,22,33,2013
206,2014-01-30,132,28,36,2013
207,2014-01-31,148,40,60,2013
208,2014-02-01,149,45,56,2013
209,2014-02-02,138,40,64,2013
210,2014-02-03,143,37,41,2013
211,2014-02-04,113,29,43,2013
212,2014-02-05,104,27,30,2013
213,2014-02-06,141,32,49,2013
214,2014-02-07,98,31,37,2013
215,2014-02-08,99,16,41,2013
216,2014-02-09,111,27,49,2013
217,2014-02-10,115,34,53,2013
218,2014-02-11,82,23,20,2013
219,2014-02-12,117,31,36,2013
220,2014-02-13,103,32,40,2013
221,2014-02-14,101,23,25,2013
222,2014-02-15,85,28,36,2013
223,2014-02-16,112,44,75,2013
224,2014-02-17,90,25,42,2013
225,2014-02-18,101,28,43,2013
226,2014-02-19,118,32,53,2013
227,2014-02-20,99,31,51,2013
228,2014-02-21,110,30,53,2013
229,2014-02-22,105,34,70,2013
230,2014-02-23,126,44,55,2013
231,2014-02-24,123,25,46,2013
232,2014-02-25,104,30,39,2013
233,2014-02-26,80,25,21,2013
234,2014-02-27,101,20,38,2013
235,2014-02-28,77,22,17,2013
236,2014-03-01,128,53,68,2013
237,2014-03-02,87,15,44,2013
238,2014-03-03,85,27,30,2013
239,2014-03-04,92,22,25,2013
240,2014-03-05,110,33,50,2013
241,2014-03-06,96,30,37,2013
242,2014-03-07,118,23,50,2013
243,2014-03-08,122,32,53,2013
244,2014-03-09,117,31,71,2013
245,2014-03-10,112,36,40,2013
246,2014-03-11,123,28,60,2013
247,2014-03-12,102,35,26,2013
248,2014-03-13,97,29,27,2013
249,2014-03-14,119,35,49,2013
250,2014-03-15,127,31,68,2013
251,2014-03-16,132,38,62,2013
252,2014-03-17,132,34,48,2013
253,2014-03-18,114,36,37,2013
254,2014-03-19,122,33,45,2013
255,2014-03-20,131,33,55,2013
256,2014-03-21,134,39,46,2013
257,2014-03-22,114,33,70,2013
258,2014-03-23,144,36,69,2013
259,2014-03-24,114,32,36,2013
260,2014-03-25,151,43,49,2013
261,2014-03-26,108,23,37,2013
262,2014-03-27,135,27,47,2013
263,2014-03-28,116,32,62,2013
264,2014-03-29,120,30,61,2013
265,2014-03-30,127,41,78,2013
266,2014-03-31,140,37,51,2013
267,2014-04-01,115,37,42,2013
268,2014-04-02,118,40,49,2013
269,2014-04-03,136,26,48,2013
270,2014-04-04,137,27,54,2013
271,2014-04-05,132,36,70,2013
272,2014-04-06,151,33,89,2013
273,2014-04-07,115,30,51,2013
274,2014-04-08,132,42,50,2013
275,2014-04-09,136,38,59,2013
276,2014-04-10,113,26,48,2013
277,2014-04-11,127,33,74,2013
278,2014-04-12,141,35,85,2014
279,2014-04-13,135,36,61,2014
280,2014-04-14,137,38,55,2014
281,2014-04-15,113,29,44,2014
282,2014-04-16,122,38,51,2014
283,2014-04-17,138,30,45,2014
284,2014-04-18,145,30,67,2014
285,2014-04-19,111,29,55,2014
286,2014-04-20,137,31,87,2014
287,2014-04-21,135,36,53,2014
288,2014-04-22,115,21,55,2014
289,2014-04-23,130,32,40,2014
290,2014-04-24,123,38,55,2014
291,2014-04-25,155,37,70,2014
292,2014-04-26,152,38,100,2014
293,2014-04-27,131,31,67,2014
294,2014-04-28,110,23,49,2014
295,2014-04-29,124,36,57,2014
296,2014-04-30,125,23,52,2014
297,2014-05-01,110,23,44,2014
298,2014-05-02,132,33,65,2014
299,2014-05-03,138,34,80,2014
300,2014-05-04,134,39,72,2014
301,2014-05-05,112,31,51,2014
302,2014-05-06,131,21,62,2014
303,2014-05-07,120,23,57,2014
304,2014-05-08,129,36,53,2014
305,2014-05-09,125,40,55,2014
306,2014-05-10,136,45,77,2014
307,2014-05-11,131,42,82,2014
308,2014-05-12,130,26,58,2014
309,2014-05-13,130,30,52,2014
310,2014-05-14,136,31,54,2014
311,2014-05-15,145,29,58,2014
312,2014-05-16,135,23,62,2014
313,2014-05-17,168,45,101,2014
314,2014-05-18,140,41,86,2014
315,2014-05-19,154,40,59,2014
316,2014-05-20,154,29,59,2014
317,2014-05-21,134,36,69,2014
318,2014-05-22,130,24,45,2014
319,2014-05-23,134,32,70,2014
320,2014-05-24,149,43,91,2014
321,2014-05-25,147,28,97,2014
322,2014-05-26,171,60,97,2014
323,2014-05-27,167,40,70,2014
324,2014-05-28,129,30,47,2014
325,2014-05-29,156,43,69,2014
326,2014-05-30,154,58,55,2014
327,2014-05-31,159,44,103,2014
328,2014-06-01,147,35,85,2014
329,2014-06-02,145,36,82,2014
330,2014-06-03,151,31,66,2014
331,2014-06-04,186,51,75,2014
332,2014-06-05,151,47,60,2014
333,2014-06-06,142,40,70,2014
334,2014-06-07,138,42,63,2014
335,2014-06-08,149,45,76,2014
336,2014-06-09,142,38,74,2014
337,2014-06-10,120,24,43,2014
338,2014-06-11,154,37,66,2014
339,2014-06-12,141,26,62,2014
340,2014-06-13,118,32,59,2014
341,2014-06-14,142,41,69,2014
342,2014-06-15,147,26,91,2014
343,2014-06-16,151,34,70,2014
344,2014-06-17,133,29,55,2014
345,2014-06-18,135,29,45,2014
346,2014-06-19,142,36,57,2014
347,2014-06-20,150,32,67,2014
348,2014-06-21,159,40,84,2014
349,2014-06-22,162,49,78,2014
350,2014-06-23,154,34,66,2014
